"";"Driver";"year";"race";"raceID";"race_ID";"Start";"Mid Race";"Finish";"High Pos.";"Low Pos.";"Avg. Pos.";"Pass Diff.";"Green Flag Passes";"Green Flag Times Passed";"Quality Passes";"Pct. Quality Passes";"Fastest Lap";"Top 15 Laps";"Pct. Top 15 Laps";"Laps Led";"Pct. Laps Led";"Total Laps";"Driver Rating"
"183";"Daniel Hemric";"2021";"05";"05_2021";"2021_05";"1";"3";"23";"1";"31";"5";"-18";"33";"51";"19";"57.6";"10";"181";"90.5";"44";"22.0";"200";"104.2"
"184";"Blaine Perkins";"2021";"05";"05_2021";"2021_05";"28";"21";"24";"16";"33";"26";"-1";"60";"61";"0";"0.0";"0";"0";"0.0";"0";"0.0";"200";"51.8"
"185";"Joe Graf, Jr.";"2021";"05";"05_2021";"2021_05";"16";"26";"25";"16";"34";"26";"-33";"48";"81";"0";"0.0";"0";"0";"0.0";"0";"0.0";"200";"51.8"
"186";"Justin Haley";"2021";"05";"05_2021";"2021_05";"5";"8";"26";"3";"26";"6";"-19";"30";"49";"29";"96.7";"2";"198";"99.5";"0";"0.0";"199";"96.6"
"187";"Gray Gaulding";"2021";"05";"05_2021";"2021_05";"34";"32";"27";"26";"39";"32";"-19";"18";"37";"0";"0.0";"0";"0";"0.0";"0";"0.0";"199";"36.7"
"188";"David Starr";"2021";"05";"05_2021";"2021_05";"37";"29";"28";"17";"39";"28";"-3";"51";"54";"0";"0.0";"0";"0";"0.0";"0";"0.0";"199";"40.0"
"189";"Dexter Bean";"2021";"05";"05_2021";"2021_05";"22";"33";"29";"18";"35";"28";"-15";"29";"44";"0";"0.0";"0";"0";"0.0";"0";"0.0";"198";"42.8"
"190";"Ryan Vargas";"2021";"05";"05_2021";"2021_05";"25";"34";"30";"21";"38";"34";"-13";"8";"21";"0";"0.0";"0";"0";"0.0";"0";"0.0";"197";"34.8"
"191";"Loris Hezemans";"2021";"05";"05_2021";"2021_05";"40";"36";"31";"31";"40";"35";"3";"6";"3";"0";"0.0";"0";"0";"0.0";"0";"0.0";"195";"30.8"
"192";"Alex Labbe";"2021";"05";"05_2021";"2021_05";"36";"24";"32";"16";"36";"23";"-5";"52";"57";"0";"0.0";"0";"0";"0.0";"0";"0.0";"194";"53.7"
"193";"Brandon Jones";"2021";"05";"05_2021";"2021_05";"2";"7";"33";"1";"31";"12";"18";"44";"26";"23";"52.3";"9";"143";"86.7";"2";"1.2";"165";"91.4"
"194";"Kyle Weatherman";"2021";"05";"05_2021";"2021_05";"26";"23";"34";"5";"36";"29";"-9";"41";"50";"0";"0.0";"0";"2";"1.2";"0";"0.0";"164";"49.2"
"195";"Matt Mills";"2021";"05";"05_2021";"2021_05";"38";"39";"35";"35";"40";"38";"2";"8";"6";"0";"0.0";"0";"0";"0.0";"0";"0.0";"157";"27.3"
"196";"Josh Berry";"2021";"05";"05_2021";"2021_05";"9";"5";"36";"3";"32";"16";"-1";"44";"45";"31";"70.5";"1";"134";"91.8";"0";"0.0";"146";"79.0"
"197";"Ryan Sieg";"2021";"05";"05_2021";"2021_05";"31";"16";"37";"1";"32";"23";"-11";"50";"61";"26";"52.0";"0";"63";"47.4";"2";"1.5";"133";"62.0"
"198";"Michael Annett";"2021";"05";"05_2021";"2021_05";"8";"37";"38";"8";"34";"26";"-12";"24";"36";"19";"79.2";"0";"76";"81.7";"0";"0.0";"93";"55.0"
"199";"Noah Gragson";"2021";"05";"05_2021";"2021_05";"10";"38";"39";"3";"19";"28";"-8";"18";"26";"15";"83.3";"6";"66";"98.5";"0";"0.0";"67";"69.7"
